Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
USA,2015,Decentralized leadingedge standardization,Manned,Benjaminfurt,Weather,24.51,72,Traditional Rocket,High,India,177
USA,2009,Reduced local capability,Manned,Jeffreyfort,Weather,11.27,50,Nuclear Propulsion,Medium,"Germany, Japan",175
India,2015,Centralized multi-tasking monitoring,Unmanned,Elizabethside,Spy,47.9,61,Reusable Rocket,Low,"India, Germany, Russia",154
Japan,2000,Distributed responsive system engine,Unmanned,West Haleyton,Research,28.94,71,Reusable Rocket,Low,"USA, France",283
Japan,2009,Synergized fault-tolerant portal,Manned,Smithbury,Communication,35.58,97,Reusable Rocket,Medium,UAE,165
USA,2020,Upgradable zero tolerance collaboration,Unmanned,New Jennifer,Weather,48.72,68,Solar Propulsion,High,"USA, China, India",119
Russia,2013,Cloned mobile policy,Manned,Reillyborough,Navigation,33.53,93,Nuclear Propulsion,Medium,China,259
Israel,2024,User-friendly optimizing array,Unmanned,Adamsstad,Weather,23.1,99,AI Navigation,High,"USA, Russia, India",267
India,2011,Implemented value-added complexity,Manned,Stephaniehaven,Spy,47.39,60,Solar Propulsion,High,"Russia, Germany, UK",260
France,2006,Managed actuating definition,Manned,Kochshire,Navigation,23.83,71,Nuclear Propulsion,High,"Russia, China",140
UK,2022,Polarized motivating project,Manned,Darrenfurt,Communication,45.98,91,Reusable Rocket,High,"China, USA, Russia",229
India,2020,Customizable fault-tolerant secured line,Manned,Whiteside,Research,42.77,95,Reusable Rocket,Medium,Germany,60
UK,2025,Monitored impactful architecture,Unmanned,Buchananfort,Communication,7.59,98,Reusable Rocket,High,Israel,265
China,2010,Managed actuating emulation,Unmanned,Schroederfurt,Navigation,40.67,63,Nuclear Propulsion,Medium,UK,39
Germany,2022,Vision-oriented modular website,Manned,Jamesfurt,Navigation,18.11,85,Reusable Rocket,Medium,"India, Japan",342
China,2010,Inverse mission-critical task-force,Manned,Greenport,Navigation,14.83,68,Traditional Rocket,Medium,UAE,13
Russia,2017,Fundamental mission-critical knowledge user,Manned,Port Mariah,Communication,4.16,73,Reusable Rocket,Medium,USA,318
Japan,2008,Distributed coherent workforce,Unmanned,Webbtown,Communication,25.99,97,Traditional Rocket,Low,France,146
UK,2003,Implemented actuating info-mediaries,Manned,Mossfort,Research,11.82,76,Solar Propulsion,High,Germany,148
UK,2012,Proactive context-sensitive utilization,Manned,Deanmouth,Weather,46.66,69,Traditional Rocket,Low,"China, UAE, India",239
China,2025,Up-sized clear-thinking alliance,Manned,Janetstad,Weather,28.49,66,Solar Propulsion,High,"UAE, Israel, UK",212
UAE,2020,Re-engineered needs-based approach,Unmanned,Bergerborough,Communication,34.23,55,Traditional Rocket,Low,"China, Israel",290
Israel,2020,Front-line context-sensitive encryption,Manned,New Robertborough,Spy,14.98,54,Traditional Rocket,Low,China,264
India,2024,Optional dedicated implementation,Unmanned,West Jeffrey,Communication,17.47,69,AI Navigation,High,"China, France, India",118
USA,2002,Reduced solution-oriented migration,Unmanned,Georgestad,Spy,37.62,99,Traditional Rocket,High,"France, Germany",309
UK,2017,Synchronized user-facing Local Area Network,Manned,West Pamelaville,Weather,4.43,67,Reusable Rocket,Medium,"UAE, Israel, Germany",274
Russia,2003,Down-sized empowering circuit,Manned,East Christopher,Communication,46.54,74,Reusable Rocket,Low,"India, Russia",191
China,2023,Front-line client-driven Internet solution,Manned,East Brianside,Research,33.15,85,Traditional Rocket,Medium,"Japan, India, China",93
Russia,2009,Self-enabling encompassing neural-net,Unmanned,New Mary,Communication,6.89,79,Reusable Rocket,Medium,"UAE, China",262
Germany,2022,Total foreground contingency,Unmanned,Deborahville,Spy,6.85,76,Solar Propulsion,Low,UAE,3
India,2012,Innovative directional collaboration,Unmanned,Richardchester,Weather,44.02,79,Reusable Rocket,Medium,"France, UK, Russia",134
Germany,2024,Optional web-enabled secured line,Manned,Port Miguelberg,Weather,7.63,58,Traditional Rocket,High,Germany,6
UAE,2017,Advanced encompassing contingency,Unmanned,Ericberg,Research,14.01,93,AI Navigation,Medium,"Israel, China, USA",227
Germany,2024,Right-sized high-level help-desk,Manned,Ericaton,Weather,16.47,78,Nuclear Propulsion,High,"USA, Japan",88
Russia,2012,Reduced optimizing artificial intelligence,Unmanned,South Emily,Research,37.98,99,Solar Propulsion,High,"UK, USA, China",5
Japan,2002,Mandatory homogeneous success,Manned,North Troy,Communication,14.58,55,Nuclear Propulsion,High,Israel,58
Russia,2005,Profound actuating customer loyalty,Unmanned,Martinezburgh,Navigation,26.26,66,Solar Propulsion,Medium,"Japan, Russia, Germany",39
USA,2012,Expanded homogeneous concept,Unmanned,Lake Monique,Weather,44.88,59,Nuclear Propulsion,Low,Russia,311
USA,2020,Mandatory next generation strategy,Manned,Lake Marie,Research,5.36,85,Nuclear Propulsion,High,USA,330
China,2009,Secured asymmetric array,Manned,Sarahfort,Weather,6.93,76,Reusable Rocket,Low,"USA, France",251
Israel,2004,Object-based reciprocal data-warehouse,Unmanned,New Kevinberg,Navigation,44.39,76,Traditional Rocket,High,"Japan, China, France",316
Japan,2010,Fully-configurable analyzing database,Manned,Ericton,Weather,32.82,87,Nuclear Propulsion,Medium,UK,50
UK,2008,Seamless local utilization,Unmanned,Port Michaelview,Communication,28.25,67,AI Navigation,Medium,"UAE, Israel",94
UAE,2015,Universal static open architecture,Unmanned,Morrisport,Research,9.98,52,Traditional Rocket,Low,France,81
UK,2016,Reactive dynamic moderator,Manned,Wardside,Communication,22.72,61,AI Navigation,Low,"India, Israel",136
France,2025,Cross-platform modular website,Unmanned,West Michaelborough,Spy,8.29,90,Reusable Rocket,Medium,"USA, UAE, China",320
Germany,2024,Diverse exuding matrices,Manned,Jessicashire,Navigation,10.14,98,Reusable Rocket,Medium,UAE,157
Israel,2010,Persistent homogeneous infrastructure,Manned,Susanmouth,Weather,16.85,81,Nuclear Propulsion,High,"UK, China",110
USA,2011,Focused needs-based open architecture,Unmanned,Veronicamouth,Research,40.63,66,Nuclear Propulsion,High,"Japan, Israel, India",4
India,2014,Fundamental intermediate standardization,Unmanned,New Judith,Spy,29.25,77,AI Navigation,Medium,USA,126
China,2015,Visionary next generation firmware,Manned,West Leetown,Research,2.52,100,AI Navigation,High,"Russia, China",142
India,2003,Versatile regional application,Manned,Kiaraton,Spy,32.74,78,Solar Propulsion,Medium,"China, Japan, Germany",90
Russia,2004,Synergized radical orchestration,Unmanned,Armstrongview,Weather,10.58,100,AI Navigation,Medium,"Russia, Israel",340
UK,2022,Exclusive 24hour Local Area Network,Unmanned,Lake Michaelmouth,Spy,25.15,73,AI Navigation,Low,China,105
India,2005,Assimilated leadingedge adapter,Manned,Erinhaven,Research,20.93,86,AI Navigation,Medium,UK,236
Germany,2013,Public-key systematic access,Unmanned,Pittmanmouth,Communication,10.56,63,Solar Propulsion,Medium,"France, Japan",293
Israel,2025,Public-key actuating capacity,Manned,Patelside,Research,43.25,65,Reusable Rocket,Low,"India, UAE, Germany",265
USA,2019,Inverse contextually-based capability,Manned,Aprilview,Weather,11.38,52,Solar Propulsion,High,"Israel, Russia",176
USA,2003,Innovative intangible interface,Manned,Lake Alexander,Weather,18.32,89,Solar Propulsion,High,"Germany, UAE, France",194
India,2000,Automated mission-critical Graphical User Interface,Unmanned,New Leslie,Research,31.13,85,AI Navigation,High,"UAE, Germany",126
UAE,2002,Implemented systematic flexibility,Unmanned,Lauraside,Weather,13.51,96,Traditional Rocket,Medium,France,335
USA,2012,Balanced motivating algorithm,Unmanned,Leonview,Spy,3.15,65,Nuclear Propulsion,Low,"India, USA, Russia",284
USA,2001,Multi-tiered global attitude,Manned,Lake Dalton,Navigation,34.03,50,Traditional Rocket,High,"UK, Japan",153
USA,2022,Open-architected leadingedge structure,Unmanned,West Jose,Spy,47.92,88,Reusable Rocket,Medium,"China, France",180
France,2015,Diverse context-sensitive strategy,Unmanned,West Laurashire,Spy,44.43,91,Solar Propulsion,High,"UAE, USA",355
China,2024,Reduced modular focus group,Unmanned,Robbinshaven,Navigation,26.66,94,Traditional Rocket,High,"Japan, China",70
UAE,2014,Programmable transitional architecture,Manned,Longland,Weather,41.21,63,Nuclear Propulsion,High,"UK, Israel",6
Germany,2007,Re-engineered impactful application,Manned,Websterhaven,Research,47.64,91,Traditional Rocket,Low,"Japan, Israel",321
Russia,2009,Synergistic reciprocal methodology,Unmanned,South Logan,Research,4.45,91,Solar Propulsion,Low,"Russia, France",254
USA,2021,Expanded multimedia initiative,Unmanned,West Virginia,Navigation,37.09,54,Reusable Rocket,Low,"Israel, Russia",220
China,2023,Automated 3rdgeneration encoding,Unmanned,North Mackenzie,Spy,8.23,60,Traditional Rocket,Low,India,259
Germany,2016,Stand-alone context-sensitive algorithm,Unmanned,New Dannyberg,Research,2.9,85,Traditional Rocket,Low,"China, UAE, Germany",94
France,2016,Pre-emptive exuding interface,Unmanned,Kendramouth,Navigation,39.6,60,Traditional Rocket,Medium,France,65
China,2006,Monitored national system engine,Manned,Rachelbury,Weather,18.23,57,Traditional Rocket,Low,"China, Germany",350
Germany,2008,Mandatory global structure,Unmanned,Davidfurt,Research,9.25,76,Nuclear Propulsion,High,France,34
Israel,2022,Devolved modular utilization,Unmanned,New Stephenside,Communication,33.3,50,AI Navigation,Low,"Russia, Japan, Israel",83
USA,2007,Reduced 5thgeneration paradigm,Manned,North Brittanyside,Navigation,37.9,76,Reusable Rocket,Medium,"India, Russia, China",217
USA,2008,Assimilated tangible monitoring,Manned,Morganbury,Spy,17.26,65,Traditional Rocket,Medium,UK,182
Russia,2014,Re-engineered bottom-line algorithm,Manned,Mooreville,Navigation,40.73,76,AI Navigation,Medium,"Japan, Germany",257
China,2001,Robust background methodology,Unmanned,North Michelle,Communication,27.77,54,Nuclear Propulsion,Medium,"Russia, UK, India",100
India,2012,Multi-layered static focus group,Manned,Marytown,Research,31.37,83,Solar Propulsion,Medium,China,292
India,2018,Triple-buffered foreground middleware,Manned,Crystalstad,Weather,21.31,92,Nuclear Propulsion,High,"UAE, USA, Russia",148
Japan,2014,User-centric dedicated data-warehouse,Manned,West Erin,Navigation,40.0,67,Solar Propulsion,Medium,"UAE, Israel, Japan",280
UK,2012,Assimilated 4thgeneration archive,Manned,Christinashire,Weather,43.63,96,AI Navigation,Medium,France,113
USA,2014,Inverse directional parallelism,Manned,West Michelle,Navigation,29.22,85,AI Navigation,High,Israel,173
Israel,2004,Down-sized bottom-line hierarchy,Unmanned,New Luis,Research,33.31,52,Solar Propulsion,Low,"Russia, Israel, Japan",337
India,2024,Exclusive 4thgeneration Graphical User Interface,Manned,Arianaport,Communication,22.53,80,Reusable Rocket,Low,"Germany, India",120
Japan,2021,Mandatory user-facing definition,Unmanned,New Rachel,Research,36.98,98,Reusable Rocket,Low,"Japan, UK, UAE",172
Russia,2010,Managed exuding benchmark,Manned,Port Tiffany,Research,26.89,61,Solar Propulsion,Medium,"France, Russia, Israel",128
UAE,2023,Visionary bi-directional project,Unmanned,Briantown,Navigation,30.86,98,Solar Propulsion,Medium,Russia,142
Israel,2020,Centralized 5thgeneration core,Manned,New Richardmouth,Navigation,49.92,97,Reusable Rocket,Low,Israel,198
Russia,2020,Pre-emptive user-facing support,Manned,West Madelinechester,Weather,36.69,72,Nuclear Propulsion,Low,USA,363
USA,2021,Optional motivating flexibility,Manned,New Brookeshire,Communication,8.7,88,Traditional Rocket,Medium,"Russia, France",139
Germany,2017,Centralized tertiary migration,Manned,New Robert,Research,11.23,89,Reusable Rocket,Low,"USA, France",36
Germany,2022,Synergized clear-thinking encoding,Unmanned,Lake Kyle,Research,24.27,85,AI Navigation,Low,"UK, Germany, UAE",139
Japan,2001,Proactive web-enabled conglomeration,Unmanned,Randychester,Research,3.42,87,AI Navigation,High,China,181
Russia,2013,Optional responsive moderator,Manned,Nelsonmouth,Weather,38.94,98,AI Navigation,High,"UAE, India, China",333
UK,2023,Proactive bi-directional complexity,Unmanned,South Adamview,Weather,41.31,62,Nuclear Propulsion,Low,"China, Germany, USA",101
USA,2009,Configurable coherent ability,Unmanned,Lake Juanfurt,Communication,42.52,75,Traditional Rocket,High,"UAE, France",75
Russia,2012,Quality-focused non-volatile alliance,Unmanned,Bautistaland,Weather,8.04,80,Traditional Rocket,Medium,"Germany, China, UK",276
France,2001,Future-proofed systemic website,Unmanned,West Johnton,Navigation,7.04,58,Traditional Rocket,High,"Russia, China, USA",101
Germany,2011,Advanced executive leverage,Manned,Jenningsfort,Navigation,9.84,83,Traditional Rocket,Medium,"UK, France, Israel",304
Israel,2010,Persistent content-based emulation,Unmanned,New Patrickstad,Spy,37.91,56,AI Navigation,Low,"Japan, Germany, UAE",311
China,2002,Vision-oriented optimizing policy,Manned,Richardberg,Weather,25.28,75,Traditional Rocket,Medium,UK,132
Israel,2013,Ergonomic homogeneous initiative,Manned,Thomasshire,Research,28.52,54,Solar Propulsion,Medium,India,343
UK,2008,Self-enabling cohesive synergy,Manned,Lowemouth,Communication,28.42,95,Nuclear Propulsion,Low,"USA, Israel, UAE",135
China,2014,Seamless heuristic throughput,Unmanned,Port Amber,Communication,46.7,52,AI Navigation,High,"Germany, Russia",287
China,2015,Quality-focused holistic model,Manned,Lake Andrewstad,Communication,8.35,73,Solar Propulsion,Medium,Israel,239
Japan,2007,Upgradable asymmetric customer loyalty,Unmanned,South Colin,Navigation,31.94,69,Traditional Rocket,Medium,UK,137
Israel,2009,Profound modular Local Area Network,Manned,Port Krystal,Communication,27.79,58,AI Navigation,High,"China, Japan, UAE",134
Japan,2012,Future-proofed foreground middleware,Unmanned,New Renee,Communication,15.59,68,AI Navigation,Low,"USA, India",277
India,2014,Profound transitional Local Area Network,Unmanned,Steventown,Weather,38.95,70,Solar Propulsion,High,"Israel, USA",305
China,2023,Reduced zero tolerance info-mediaries,Manned,South Melissa,Communication,32.36,51,Traditional Rocket,Low,"France, Russia, India",264
France,2002,Public-key needs-based attitude,Unmanned,New Jeremy,Weather,45.65,52,Reusable Rocket,Medium,"UK, China",7
France,2010,Multi-tiered didactic access,Manned,Karaton,Navigation,17.82,95,AI Navigation,Low,"Germany, UAE, UK",231
India,2004,Synergistic 4thgeneration portal,Manned,New Michelle,Weather,33.47,67,Traditional Rocket,High,USA,114
Israel,2022,Triple-buffered neutral circuit,Unmanned,Thomasshire,Research,22.6,88,AI Navigation,Low,"UK, Israel, Russia",149
France,2001,Networked high-level attitude,Unmanned,Lynchhaven,Spy,31.32,74,AI Navigation,Low,Israel,64
Israel,2018,Monitored intangible infrastructure,Unmanned,Port Michael,Communication,27.09,75,Solar Propulsion,Low,UK,144
Japan,2004,Phased radical utilization,Manned,South Miguel,Weather,13.33,66,Traditional Rocket,Low,Russia,110
UK,2024,Vision-oriented web-enabled open architecture,Manned,East Lindsey,Communication,20.7,80,Nuclear Propulsion,Medium,"Israel, UAE, USA",264
UK,2003,Fundamental tangible website,Unmanned,New Victor,Spy,30.03,100,Traditional Rocket,Low,"Russia, UK",43
Japan,2006,Optional contextually-based monitoring,Manned,Sarahmouth,Communication,12.87,96,Nuclear Propulsion,High,"UAE, UK, China",170
Russia,2025,User-centric next generation product,Manned,South Johnnyburgh,Research,31.41,78,Reusable Rocket,Medium,"UK, Germany",85
UK,2003,Multi-lateral tertiary matrices,Unmanned,Lake Timothy,Spy,16.08,56,Traditional Rocket,Medium,"China, UK",2
China,2000,Object-based disintermediate benchmark,Unmanned,Brandonton,Communication,3.99,100,AI Navigation,Medium,"France, Germany",139
UAE,2018,Object-based mobile circuit,Manned,North Thomasberg,Weather,46.02,52,Traditional Rocket,Medium,"Japan, USA",167
France,2023,Streamlined mobile matrix,Manned,Choifort,Communication,11.99,99,Solar Propulsion,High,UAE,145
UK,2008,Sharable discrete Local Area Network,Unmanned,Moralesburgh,Navigation,34.47,51,AI Navigation,Low,"Germany, France, UAE",50
India,2000,Enterprise-wide maximized paradigm,Unmanned,Mcphersonmouth,Weather,37.05,89,AI Navigation,Medium,France,174
France,2016,Robust web-enabled solution,Unmanned,East April,Research,16.53,69,Reusable Rocket,High,"Israel, France",20
UAE,2018,Streamlined multi-tasking capacity,Manned,Ramosport,Navigation,7.14,57,AI Navigation,Medium,Germany,83
Germany,2004,Optimized zero administration benchmark,Manned,West Courtneyton,Communication,44.87,65,AI Navigation,Low,"Japan, China, France",295
Japan,2019,Stand-alone bottom-line monitoring,Unmanned,West Elizabethshire,Weather,18.19,90,Traditional Rocket,High,"Russia, UAE, Germany",48
Russia,2015,Cross-platform dynamic middleware,Unmanned,West Marktown,Weather,42.16,70,Solar Propulsion,High,"UAE, UK, India",216
Russia,2017,Business-focused needs-based knowledgebase,Unmanned,Port Lindseyfort,Communication,23.44,90,Reusable Rocket,Low,France,304
Russia,2008,Fully-configurable solution-oriented productivity,Manned,Lake Melissaborough,Weather,25.4,58,Solar Propulsion,Low,"Japan, China, Germany",103
UK,2022,Reduced 24hour hardware,Manned,South Kennethhaven,Spy,48.07,54,Solar Propulsion,High,China,78
France,2008,User-centric asynchronous interface,Unmanned,Lambertbury,Weather,16.53,69,AI Navigation,Low,"UAE, China, Israel",330
Russia,2008,Reactive executive utilization,Manned,New Amy,Spy,10.18,73,Nuclear Propulsion,High,Germany,7
Israel,2018,Decentralized holistic functionalities,Unmanned,Kleintown,Weather,35.44,68,Nuclear Propulsion,Medium,India,101
India,2017,Integrated object-oriented throughput,Manned,Carlosstad,Research,24.65,93,Traditional Rocket,Medium,"China, USA",84
Japan,2023,Intuitive exuding process improvement,Unmanned,Smithton,Navigation,9.66,96,Traditional Rocket,Medium,"Japan, Russia",137
France,2003,Integrated mission-critical circuit,Manned,Mitchellberg,Navigation,36.55,64,AI Navigation,Low,USA,276
UAE,2009,Cross-platform local capacity,Manned,Christianburgh,Research,15.34,69,Solar Propulsion,High,"China, India",234
China,2012,Reverse-engineered 24hour firmware,Manned,Richardland,Weather,45.57,60,Traditional Rocket,Medium,"China, UK",99
USA,2020,Devolved client-driven paradigm,Manned,Lawrenceside,Communication,29.74,79,Reusable Rocket,Medium,"UK, Japan",309
Germany,2020,Reduced grid-enabled forecast,Unmanned,Kimberlyside,Navigation,42.56,81,AI Navigation,Low,"Japan, Germany, UAE",260
France,2009,Optimized homogeneous frame,Unmanned,Melissaview,Weather,31.38,61,Solar Propulsion,Low,Russia,90
Japan,2010,Grass-roots local methodology,Unmanned,Jamesmouth,Spy,38.83,83,Reusable Rocket,Medium,"China, France, Germany",220
UK,2002,Re-engineered fault-tolerant challenge,Manned,West Lorraineton,Spy,11.86,60,AI Navigation,High,UK,250
China,2007,Sharable client-server flexibility,Manned,Allisonshire,Navigation,36.63,51,Solar Propulsion,High,"Japan, France, India",20
India,2008,Polarized regional archive,Unmanned,North Devin,Communication,39.93,87,Solar Propulsion,Low,Germany,314
UK,2007,Right-sized actuating task-force,Unmanned,Gonzalesfort,Communication,34.04,76,Traditional Rocket,Low,"China, Russia, Japan",42
UAE,2004,Future-proofed 4thgeneration challenge,Manned,Rowefort,Communication,42.85,56,Reusable Rocket,Low,"USA, Germany",226
France,2007,Total multimedia architecture,Manned,South Brandon,Navigation,5.67,87,Nuclear Propulsion,High,"Germany, India, France",110
France,2008,Cross-group demand-driven instruction set,Unmanned,Port Scottbury,Spy,29.48,52,AI Navigation,Low,Russia,15
France,2015,Implemented fault-tolerant open system,Manned,Brooksland,Research,33.11,61,Reusable Rocket,High,"France, USA, China",299
USA,2007,Decentralized modular model,Manned,New Deannatown,Spy,39.71,80,Reusable Rocket,Medium,"USA, India, UAE",300
USA,2017,Synchronized zero administration policy,Unmanned,Lake Christina,Weather,41.54,55,Solar Propulsion,Low,Germany,130
Russia,2022,Phased methodical moderator,Unmanned,Lopezside,Weather,15.6,94,AI Navigation,High,USA,109
Israel,2007,Networked encompassing groupware,Manned,South Kenneth,Navigation,28.88,63,Nuclear Propulsion,Low,"Israel, UK, China",311
UAE,2021,Cross-platform uniform benchmark,Manned,New Heather,Navigation,22.71,81,Solar Propulsion,Low,Israel,185
Germany,2015,Grass-roots maximized definition,Unmanned,West Cory,Research,38.46,63,Solar Propulsion,Low,"India, Germany, UAE",21
France,2016,Optional reciprocal artificial intelligence,Manned,New Julieville,Spy,11.86,81,Nuclear Propulsion,High,UAE,333
USA,2019,Open-architected uniform flexibility,Manned,Port Jennifer,Research,0.58,84,Nuclear Propulsion,Medium,UK,112
France,2005,Total hybrid policy,Manned,Salinasbury,Spy,22.97,61,AI Navigation,Medium,Israel,349
India,2007,Seamless analyzing policy,Manned,New Sandra,Spy,18.57,76,Reusable Rocket,Low,"UAE, China",5
UAE,2000,Future-proofed heuristic database,Manned,East Lisa,Communication,16.02,74,Reusable Rocket,High,"France, Russia, UAE",300
UK,2017,Profit-focused incremental website,Unmanned,New Brandonhaven,Spy,39.83,95,Nuclear Propulsion,Low,"Russia, Japan, UAE",321
UAE,2002,Down-sized encompassing circuit,Unmanned,Lake Jorge,Communication,46.41,54,Traditional Rocket,Low,"USA, UAE, Israel",16
Russia,2020,Secured reciprocal concept,Unmanned,North Christopher,Weather,7.92,76,Traditional Rocket,Low,"Russia, Japan",152
USA,2002,Fully-configurable tertiary array,Manned,Cooperfort,Research,39.45,87,Traditional Rocket,Medium,UK,233
UAE,2017,Operative upward-trending utilization,Manned,New Mark,Communication,6.2,76,Traditional Rocket,High,France,29
Israel,2001,Centralized eco-centric instruction set,Unmanned,Joshuatown,Navigation,8.24,89,Nuclear Propulsion,High,"Russia, UAE, USA",189
China,2004,Virtual interactive groupware,Manned,North Mariahside,Research,38.34,99,Nuclear Propulsion,Medium,India,218
UAE,2003,Centralized 24/7 matrix,Unmanned,Kochmouth,Communication,21.31,60,Reusable Rocket,High,"France, India, USA",225
USA,2002,Multi-tiered bottom-line productivity,Unmanned,Michaelside,Spy,22.58,89,Traditional Rocket,High,"France, India, Japan",163
Russia,2006,Assimilated even-keeled protocol,Manned,Susanmouth,Weather,5.53,89,Traditional Rocket,High,"China, France",306
UAE,2006,Organized responsive secured line,Unmanned,Lake Kimberly,Navigation,2.19,85,AI Navigation,Low,"Israel, Russia",292
UAE,2000,Optimized stable toolset,Unmanned,Port Heather,Weather,15.51,56,AI Navigation,Low,"Germany, Russia, UK",332
UAE,2000,Synergized actuating contingency,Manned,East Amyview,Weather,30.58,83,Nuclear Propulsion,Medium,"France, India, Israel",76
